Player,Competetion,season,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_y,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x.1,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Home
Carlos Soler,La-Liga,2021-2022,es ESP,"CM,RM",24-223,85,1,0,1,1,1,0,1,0,26,0,1,0,1.2,0.4,0,1,0,16,19,84.2,2,12,0,0,0,,,,,,,,,,,,,,,,,,,,,Valencia
Daniel Wass,La-Liga,2021-2022,dk DEN,CM,32-074,68,0,0,0,0,0,0,1,0,22,1,0,0,0,0,0,0,0,11,18,61.1,3,11,0,0,0,,,,,,,,,,,,,,,,,,,,,Valencia
Denis Cheryshev,La-Liga,2021-2022,ru RUS,LM,30-230,76,0,0,0,0,1,1,0,0,28,0,4,0,0.2,0.2,0,3,2,12,15,80,0,12,0,3,1,,,,,,,,,,,,,,,,,,,,,Valencia
Gabriel Paulista,La-Liga,2021-2022,br BRA,CB,30-260,90,0,0,0,0,0,0,0,0,21,0,2,2,0,0,0,0,0,6,10,60,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,Valencia
Giorgi Mamardashvili,La-Liga,2021-2022,ge GEO,GK,20-318,90,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,15,23,65.2,0,6,0,0,0,4,0,4,100,0.8,11,19,57.9,10,1,80,51.1,13,84.6,56.4,26,0,0,0,12,Valencia
Gonçalo Guedes,La-Liga,2021-2022,pt POR,"RM,FW",24-257,85,0,0,0,0,0,0,0,0,35,3,1,0,0,0,0,2,0,18,25,72,4,31,4,5,4,,,,,,,,,,,,,,,,,,,,,Valencia
Hugo Guillamón,La-Liga,2021-2022,es ESP,CM,21-194,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,100,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,Valencia
Jason,La-Liga,2021-2022,es ESP,RM,27-038,5,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,3,4,75,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,Valencia
José Luis Gayà,La-Liga,2021-2022,es ESP,LB,26-080,90,0,0,0,0,0,0,1,0,26,0,1,1,0,0,0,0,0,11,20,55,0,13,0,0,0,,,,,,,,,,,,,,,,,,,,,Valencia
Maxi Gómez,La-Liga,2021-2022,uy URU,FW,24-364,90,0,0,0,0,1,0,1,0,27,0,0,0,0,0,0,0,0,6,17,35.3,0,20,1,0,0,,,,,,,,,,,,,,,,,,,,,Valencia
